Cancer id,Ranking,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,1,250,France (metropolitan),FRA,0,0,106.36
20,2,196,Cyprus,CYP,0,0,105.4
20,3,056,Belgium,BEL,0,0,105.18
20,4,528,The Netherlands,NLD,0,0,102.26
20,5,036,Australia,AUS,0,0,101.47
20,6,442,Luxembourg,LUX,0,0,99.7
20,7,840,United States of America,USA,0,0,96.71
20,8,578,Norway,NOR,0,0,96.1
20,9,208,Denmark,DNK,0,0,96.03
20,10,826,United Kingdom,GBR,0,0,94.56
20,11,554,New Zealand,NZL,0,0,94.36
20,12,246,Finland,FIN,0,0,92.85
20,13,372,Ireland,IRL,0,0,92.12
20,14,540,New Caledonia,NCL,0,0,90.18
20,15,620,Portugal,PRT,0,0,89.55
20,16,124,Canada,CAN,0,0,89.18
20,17,882,Samoa,WSM,0,0,88.75
20,18,380,Italy,ITA,0,0,87.86
20,19,470,Malta,MLT,0,0,87.39
20,20,300,Greece,GRC,0,0,83.34
20,21,705,Slovenia,SVN,0,0,82.68
20,22,752,Sweden,SWE,0,0,81.94
20,23,724,Spain,ESP,0,0,81.7
20,24,376,Israel,ISR,0,0,78.74
20,25,276,Germany,DEU,0,0,78.16
20,26,756,Switzerland,CHE,0,0,78.13
20,27,348,Hungary,HUN,0,0,77.68
20,28,474,"France, Martinique",MTQ,0,0,77.16
20,29,499,Montenegro,MNE,0,0,77.08
20,30,191,Croatia,HRV,0,0,75.43
20,31,858,Uruguay,URY,0,0,75.05
20,32,392,Japan,JPN,0,0,74.39
20,33,203,Czechia,CZE,0,0,73.12
20,34,702,Singapore,SGP,0,0,72.61
20,35,352,Iceland,ISL,0,0,72.23
20,36,258,French Polynesia,PYF,0,0,71.91
20,37,032,Argentina,ARG,0,0,71.32
20,38,388,Jamaica,JAM,0,0,71.12
20,39,040,Austria,AUT,0,0,70.36
20,40,642,Romania,ROU,0,0,70.2
20,41,703,Slovakia,SVK,0,0,67.78
20,42,312,"France, Guadeloupe",GLP,0,0,66.41
20,43,616,Poland,POL,0,0,66.34
20,44,428,Latvia,LVA,0,0,66.24
20,45,807,North Macedonia,MKD,0,0,65.55
20,46,044,Bahamas,BHS,0,0,64.64
20,47,233,Estonia,EST,0,0,63.3
20,48,076,Brazil,BRA,0,0,63.12
20,49,440,Lithuania,LTU,0,0,62.89
20,50,630,Puerto Rico,PRI,0,0,62.32
20,51,012,Algeria,DZA,0,0,61.87
20,52,688,Serbia,SRB,0,0,61.8
20,53,410,"Korea, Republic of",KOR,0,0,61.48
20,54,608,Philippines,PHL,0,0,60.34
20,55,242,Fiji,FJI,0,0,60.26
20,56,400,Jordan,JOR,0,0,59.99
20,57,048,Bahrain,BHR,0,0,58.49
20,58,504,Morocco,MAR,0,0,58.37
20,58,600,Paraguay,PRY,0,0,58.37
