Cancer id,Ranking,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,1,242,Fiji,FJI,0,1,38.85
20,2,388,Jamaica,JAM,0,1,35.21
20,3,044,Bahamas,BHS,0,1,31.69
20,4,052,Barbados,BRB,0,1,29.8
20,5,882,Samoa,WSM,0,1,28.09
20,6,120,Cameroon,CMR,0,1,27.44
20,7,566,Nigeria,NGA,0,1,26.83
20,8,598,Papua New Guinea,PNG,0,1,26.66
20,9,706,Somalia,SOM,0,1,25.66
20,10,384,"Côte d'Ivoire",CIV,0,1,25.37
20,11,140,Central African Republic,CAF,0,1,25.31
20,12,231,Ethiopia,ETH,0,1,23.95
20,13,368,Iraq,IRQ,0,1,23.51
20,14,499,Montenegro,MNE,0,1,23.26
20,15,258,French Polynesia,PYF,0,1,23.21
20,16,466,Mali,MLI,0,1,23.13
20,17,214,Dominican Republic,DOM,0,1,23.03
20,18,516,Namibia,NAM,0,1,22.54
20,19,232,Eritrea,ERI,0,1,22.41
20,20,262,Djibouti,DJI,0,1,22.11
20,20,780,Trinidad and Tobago,TTO,0,1,22.11
20,22,858,Uruguay,URY,0,1,21.57
20,23,608,Philippines,PHL,0,1,21.47
20,24,226,Equatorial Guinea,GNQ,0,1,21.39
20,25,760,Syrian Arab Republic,SYR,0,1,20.94
20,26,012,Algeria,DZA,0,1,20.8
20,27,729,Sudan,SDN,0,1,20.72
20,28,268,Georgia,GEO,0,1,20.64
20,29,090,Solomon Islands,SLB,0,1,20.44
20,30,422,Lebanon,LBN,0,1,20.39
20,31,818,Egypt,EGY,0,1,19.89
20,32,275,Gaza Strip and West Bank,PSE,0,1,19.71
20,33,048,Bahrain,BHR,0,1,19.67
20,34,807,North Macedonia,MKD,0,1,19.63
20,35,404,Kenya,KEN,0,1,19.59
20,36,430,Liberia,LBR,0,1,19.48
20,37,288,Ghana,GHA,0,1,19.34
20,38,400,Jordan,JOR,0,1,19.32
20,39,458,Malaysia,MYS,0,1,19.3
20,40,480,Mauritius,MUS,0,1,18.97
20,40,562,Niger,NER,0,1,18.97
20,42,204,Benin,BEN,0,1,18.87
20,42,688,Serbia,SRB,0,1,18.87
20,44,196,Cyprus,CYP,0,1,18.79
20,45,586,Pakistan,PAK,0,1,18.6
20,46,716,Zimbabwe,ZWE,0,1,18.57
20,47,478,Mauritania,MRT,0,1,18.54
20,48,703,Slovakia,SVK,0,1,18.27
20,49,504,Morocco,MAR,0,1,18.07
20,49,768,Togo,TGO,0,1,18.07
20,51,004,Afghanistan,AFG,0,1,17.92
20,52,702,Singapore,SGP,0,1,17.82
20,53,498,Moldova,MDA,0,1,17.68
20,54,728,South Sudan,SSD,0,1,17.61
20,55,032,Argentina,ARG,0,1,17.58
20,56,616,Poland,POL,0,1,17.56
20,57,372,Ireland,IRL,0,1,17.41
20,58,348,Hungary,HUN,0,1,17.14
20,59,352,Iceland,ISL,0,1,17.13
20,60,414,Kuwait,KWT,0,1,16.99
20,61,316,Guam,GUM,0,1,16.98
20,62,710,South Africa,ZAF,0,1,16.96
20,63,600,Paraguay,PRY,0,1,16.88
20,64,540,New Caledonia,NCL,0,1,16.81
20,65,642,Romania,ROU,0,1,16.78
20,66,624,Guinea-Bissau,GNB,0,1,16.69
20,67,312,"France, Guadeloupe",GLP,0,1,16.68
20,68,686,Senegal,SEN,0,1,16.42
20,69,662,Saint Lucia,LCA,0,1,16.39
20,70,450,Madagascar,MDG,0,1,16.37
20,71,428,Latvia,LVA,0,1,16.32
20,72,474,"France, Martinique",MTQ,0,1,16.29
20,73,376,Israel,ISR,0,1,16.2
20,74,862,Venezuela,VEN,0,1,16.16
20,75,051,Armenia,ARM,0,1,16.08
20,76,250,France (metropolitan),FRA,0,1,15.99
20,76,276,Germany,DEU,0,1,15.99
20,78,254,French Guyana,GUF,0,1,15.92
20,78,784,United Arab Emirates,ARE,0,1,15.92
20,80,108,Burundi,BDI,0,1,15.7
20,81,180,"Congo, Democratic People Republic of",COD,0,1,15.64
20,82,100,Bulgaria,BGR,0,1,15.63
20,83,795,Turkmenistan,TKM,0,1,15.57
20,84,554,New Zealand,NZL,0,1,15.52
20,85,070,Bosnia Herzegovina,BIH,0,1,15.3
20,86,705,Slovenia,SVN,0,1,15.22
20,87,328,Guyana,GUY,0,1,15.18
20,88,442,Luxembourg,LUX,0,1,15.09
20,89,380,Italy,ITA,0,1,14.99
20,90,300,Greece,GRC,0,1,14.9
20,91,454,Malawi,MWI,0,1,14.81
20,92,620,Portugal,PRT,0,1,14.7
20,93,704,Viet Nam,VNM,0,1,14.67
20,94,008,Albania,ALB,0,1,14.64
20,95,528,The Netherlands,NLD,0,1,14.63
20,96,440,Lithuania,LTU,0,1,14.49
20,97,040,Austria,AUT,0,1,14.44
20,98,740,Suriname,SUR,0,1,14.43
20,99,360,Indonesia,IDN,0,1,14.35
20,100,630,Puerto Rico,PRI,0,1,14.34
20,101,056,Belgium,BEL,0,1,14.32
20,102,332,Haiti,HTI,0,1,14.31
20,103,024,Angola,AGO,0,1,14.3
20,104,096,Brunei Darussalam,BRN,0,1,14.28
20,105,208,Denmark,DNK,0,1,14.13
20,106,826,United Kingdom,GBR,0,1,14.08
20,107,887,Yemen,YEM,0,1,14
20,108,076,Brazil,BRA,0,1,13.88
20,109,192,Cuba,CUB,0,1,13.87
20,110,470,Malta,MLT,0,1,13.8
20,111,356,India,IND,0,1,13.7
20,112,643,Russian Federation,RUS,0,1,13.67
20,113,124,Canada,CAN,0,1,13.53
20,114,112,Belarus,BLR,0,1,13.38
20,115,804,Ukraine,UKR,0,1,13.33
20,116,170,Colombia,COL,0,1,13.29
20,116,434,Libya,LBY,0,1,13.29
20,118,233,Estonia,EST,0,1,13.26
20,119,266,Gabon,GAB,0,1,13.24
20,120,462,Maldives,MDV,0,1,13.2
20,121,854,Burkina Faso,BFA,0,1,13.17
20,122,512,Oman,OMN,0,1,13.1
20,123,860,Uzbekistan,UZB,0,1,12.98
20,124,834,"Tanzania, United Republic of",TZA,0,1,12.91
20,125,800,Uganda,UGA,0,1,12.63
20,126,418,"Lao People's Democratic Republic",LAO,0,1,12.55
20,127,792,Türkiye,TUR,0,1,12.52
20,128,178,"Congo, Republic of",COG,0,1,12.5
20,129,756,Switzerland,CHE,0,1,12.43
20,130,840,United States of America,USA,0,1,12.32
20,131,398,Kazakhstan,KAZ,0,1,12.31
20,132,036,Australia,AUS,0,1,12.28
20,133,638,"France, La Réunion",REU,0,1,12.09
20,134,508,Mozambique,MOZ,0,1,11.96
20,135,246,Finland,FIN,0,1,11.94
20,136,752,Sweden,SWE,0,1,11.93
20,137,764,Thailand,THA,0,1,11.81
20,138,031,Azerbaijan,AZE,0,1,11.8
20,138,174,Comoros,COM,0,1,11.8
20,140,203,Czechia,CZE,0,1,11.79
20,141,191,Croatia,HRV,0,1,11.75
20,142,084,Belize,BLZ,0,1,11.71
